ID	centroid_x	centroid_y	centroid_z	volume	integrated_intensity	eccentricity	elongation	orientation	bounding_box_volume	sum	mean	minimum	maximum	sigma	variance	surface_gradient	interior_gradient	surface_intensity	interior_intensity	intensity_ratio	convexity	radius_variation	surface_area	shape	shared_boundary	t_energy	t_entropy	inverse_diff_moment	inertia	cluster_shade	cluster_prominence	
1.00	917.00	700.00	0.00	8992.00	253963.00	1.00	90.24	0.04	13516.00	253963.00	28.24	2.00	42.00	5.16	26.59	1.19	0.00	28.24	0.00	0.00	0.00	1.44	8992.00	79.51	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
2.00	733.00	663.00	0.00	6536.00	189152.00	1.00	71.91	-1.99	9879.00	189152.00	28.94	5.00	42.00	4.84	23.44	1.34	0.00	28.94	0.00	0.00	0.00	1.37	6536.00	57.79	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
3.00	459.00	509.00	0.00	5211.00	126466.00	1.00	56.35	-0.84	8366.00	126466.00	24.27	10.00	33.00	3.14	9.88	1.33	0.00	24.27	0.00	0.00	0.00	1.36	5211.00	46.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
4.00	993.00	208.00	0.00	5201.00	141072.00	1.00	43.40	-2.10	12222.00	141072.00	27.12	10.00	37.00	3.62	13.11	1.59	0.00	27.12	0.00	0.00	0.00	1.85	5201.00	45.99	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
5.00	487.00	1007.00	0.00	4688.00	124843.00	1.00	61.41	0.51	6622.00	124843.00	26.63	9.00	37.00	4.19	17.58	1.44	0.00	26.63	0.00	0.00	0.00	1.20	4688.00	41.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
6.00	997.00	1009.00	0.00	4667.00	132754.00	1.00	65.24	-0.34	6006.00	132754.00	28.45	13.00	41.00	5.16	26.65	1.52	0.00	28.45	0.00	0.00	0.00	1.19	4667.00	41.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
7.00	299.00	980.00	0.00	4568.00	122392.00	1.00	58.36	0.50	6192.00	122392.00	26.79	12.00	41.00	3.69	13.61	1.58	0.00	26.79	0.00	0.00	0.00	1.22	4568.00	40.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
8.00	1468.00	862.00	0.00	4515.00	136059.00	1.00	60.96	-0.69	6160.00	136059.00	30.13	14.00	48.00	6.42	41.25	1.75	0.00	30.13	0.00	0.00	0.00	1.19	4515.00	39.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
9.00	847.00	934.00	0.00	4495.00	122569.00	1.00	62.54	0.25	6142.00	122569.00	27.27	8.00	40.00	4.53	20.55	1.52	0.00	27.27	0.00	0.00	0.00	1.17	4495.00	39.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
10.00	186.00	990.00	0.00	4454.00	130124.00	1.00	58.06	0.68	6150.00	130124.00	29.22	3.00	108.00	8.70	75.74	4.13	0.00	29.22	0.00	0.00	0.00	1.23	4454.00	39.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
11.00	1695.00	916.00	0.00	4451.00	141432.00	1.00	60.50	-0.54	5616.00	141432.00	31.78	14.00	48.00	7.11	50.51	1.74	0.00	31.78	0.00	0.00	0.00	1.19	4451.00	39.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
12.00	1570.00	835.00	0.00	4441.00	129545.00	1.00	58.99	-0.80	6241.00	129545.00	29.17	11.00	46.00	6.15	37.79	1.74	0.00	29.17	0.00	0.00	0.00	1.19	4441.00	39.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
