ID	centroid_x	centroid_y	centroid_z	volume	integrated_intensity	eccentricity	elongation	orientation	bounding_box_volume	sum	mean	minimum	maximum	sigma	variance	surface_gradient	interior_gradient	surface_intensity	interior_intensity	intensity_ratio	convexity	radius_variation	surface_area	shape	shared_boundary	t_energy	t_entropy	inverse_diff_moment	inertia	cluster_shade	cluster_prominence	
1.00	548.00	424.00	0.00	7250.00	570079.00	1.00	60.50	-2.19	13608.00	570079.00	78.63	14.00	241.00	32.46	1053.54	5.33	0.00	78.63	0.00	0.00	0.00	1.79	7250.00	64.11	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
2.00	344.00	510.00	0.00	5497.00	404503.00	1.00	58.28	0.27	7446.00	404503.00	73.59	19.00	199.00	25.19	634.55	5.29	0.00	73.59	0.00	0.00	0.00	1.39	5497.00	48.61	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
3.00	409.00	452.00	0.00	5185.00	419688.00	1.00	55.95	-1.17	7546.00	419688.00	80.94	24.00	180.00	25.11	630.56	5.86	0.00	80.94	0.00	0.00	0.00	1.32	5185.00	45.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
4.00	973.00	266.00	0.00	4910.00	416484.00	1.00	53.41	0.10	6014.00	416484.00	84.82	24.00	233.00	29.58	875.06	6.26	0.00	84.82	0.00	0.00	0.00	1.33	4910.00	43.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
5.00	296.00	774.00	0.00	4675.00	314755.00	1.00	56.66	-0.11	8112.00	314755.00	67.33	16.00	211.00	25.65	657.86	4.53	0.00	67.33	0.00	0.00	0.00	1.23	4675.00	41.34	0.02	0.00	0.00	0.00	0.00	0.00	0.00	
6.00	999.00	165.00	0.00	4624.00	399552.00	1.00	59.15	0.38	6688.00	399552.00	86.41	22.00	247.00	28.42	807.88	5.92	0.00	86.41	0.00	0.00	0.00	1.24	4624.00	40.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
7.00	129.00	545.00	0.00	4527.00	142936.00	1.00	57.72	-1.12	9776.00	142936.00	31.57	16.00	255.00	17.93	321.35	3.58	0.00	31.57	0.00	0.00	0.00	1.32	4527.00	40.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
8.00	235.00	812.00	0.00	4452.00	338624.00	1.00	56.33	-1.91	6750.00	338624.00	76.06	20.00	216.00	24.77	613.42	4.70	0.00	76.06	0.00	0.00	0.00	1.25	4452.00	39.37	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
9.00	176.00	619.00	0.00	4373.00	152737.00	1.00	53.38	0.24	6800.00	152737.00	34.93	20.00	88.00	6.27	39.32	2.09	0.00	34.93	0.00	0.00	0.00	1.26	4373.00	38.67	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
10.00	355.00	857.00	0.00	4311.00	322901.00	1.00	58.38	0.70	5472.00	322901.00	74.90	25.00	205.00	24.77	613.65	5.18	0.00	74.90	0.00	0.00	0.00	1.19	4311.00	38.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
11.00	334.00	609.00	0.00	4136.00	349114.00	1.00	61.10	-0.59	6480.00	349114.00	84.41	24.00	233.00	30.89	954.24	5.42	0.00	84.41	0.00	0.00	0.00	1.15	4136.00	36.57	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
