ID	centroid_x	centroid_y	centroid_z	volume	integrated_intensity	eccentricity	elongation	orientation	bounding_box_volume	sum	mean	minimum	maximum	sigma	variance	surface_gradient	interior_gradient	surface_intensity	interior_intensity	intensity_ratio	convexity	radius_variation	surface_area	shape	shared_boundary	t_energy	t_entropy	inverse_diff_moment	inertia	cluster_shade	cluster_prominence	
1.00	1862.00	687.00	0.00	5868.00	458470.00	1.00	61.01	-0.57	8652.00	458470.00	78.13	19.00	249.00	33.97	1153.79	6.60	0.00	78.13	0.00	0.00	0.00	1.44	5868.00	51.89	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
2.00	137.00	520.00	0.00	5674.00	374017.00	1.00	61.85	-2.16	9400.00	374017.00	65.92	18.00	222.00	30.74	944.89	4.87	0.00	65.92	0.00	0.00	0.00	1.50	5674.00	50.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
3.00	715.00	290.00	0.00	5382.00	306558.00	1.00	62.74	-2.34	9000.00	306558.00	56.96	13.00	255.00	36.85	1357.90	5.55	0.00	56.96	0.00	0.00	0.00	1.42	5382.00	47.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
4.00	243.00	419.00	0.00	5335.00	333708.00	1.00	58.16	-0.22	7400.00	333708.00	62.55	21.00	246.00	27.17	738.30	5.17	0.00	62.55	0.00	0.00	0.00	1.35	5335.00	47.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
5.00	1046.00	559.00	0.00	5084.00	423851.00	1.00	64.77	-2.04	6384.00	423851.00	83.37	21.00	230.00	28.06	787.23	5.70	0.00	83.37	0.00	0.00	0.00	1.30	5084.00	44.95	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
6.00	1291.00	200.00	0.00	5005.00	292535.00	1.00	67.08	-0.31	7840.00	292535.00	58.45	19.00	255.00	26.76	716.03	5.93	0.00	58.45	0.00	0.00	0.00	1.44	5005.00	44.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
7.00	1607.00	538.00	0.00	4738.00	329298.00	1.00	53.66	-0.40	7519.00	329298.00	69.50	15.00	255.00	28.16	793.20	6.57	0.00	69.50	0.00	0.00	0.00	1.36	4738.00	41.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
8.00	281.00	287.00	0.00	4665.00	343311.00	1.00	55.40	0.17	7383.00	343311.00	73.59	18.00	255.00	30.31	918.74	6.82	0.00	73.59	0.00	0.00	0.00	1.35	4665.00	41.25	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
9.00	1536.00	277.00	0.00	4417.00	252371.00	1.00	44.19	-1.21	8352.00	252371.00	57.14	17.00	255.00	29.77	886.28	5.83	0.00	57.14	0.00	0.00	0.00	1.59	4417.00	39.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
10.00	1709.00	892.00	0.00	4371.00	262988.00	1.00	59.20	-0.70	5920.00	262988.00	60.17	22.00	231.00	24.51	600.52	4.36	0.00	60.17	0.00	0.00	0.00	1.19	4371.00	38.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
