ID	centroid_x	centroid_y	centroid_z	volume	integrated_intensity	eccentricity	elongation	orientation	bounding_box_volume	sum	mean	minimum	maximum	sigma	variance	surface_gradient	interior_gradient	surface_intensity	interior_intensity	intensity_ratio	convexity	radius_variation	surface_area	shape	shared_boundary	t_energy	t_entropy	inverse_diff_moment	inertia	cluster_shade	cluster_prominence	
193.00	1083.00	333.00	0.00	81.00	1955.00	0.99	5.84	-0.58	130.00	1955.00	24.14	16.00	43.00	5.97	35.59	5.35	0.00	24.14	0.00	0.00	0.00	0.58	81.00	0.72	0.04	0.00	0.00	0.00	0.00	0.00	0.00	
194.00	354.00	296.00	0.00	80.00	7490.00	0.98	5.43	-0.14	112.00	7490.00	93.63	15.00	255.00	78.76	6203.20	49.81	0.00	93.63	0.00	0.00	0.00	0.59	80.00	0.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
1.00	812.00	190.00	0.00	8876.00	506245.00	1.00	67.09	-1.98	15134.00	506245.00	57.04	8.00	255.00	30.98	959.81	4.56	0.00	57.04	0.00	0.00	0.00	1.85	8876.00	78.48	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
2.00	669.00	304.00	0.00	7637.00	436226.00	1.00	67.97	0.20	11837.00	436226.00	57.12	9.00	222.00	35.07	1230.05	4.36	0.00	57.12	0.00	0.00	0.00	1.49	7637.00	67.53	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
3.00	947.00	136.00	0.00	7205.00	343772.00	1.00	73.04	-1.30	13029.00	343772.00	47.71	6.00	216.00	28.59	817.55	5.21	0.00	47.71	0.00	0.00	0.00	1.58	7205.00	63.71	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
197.00	203.00	397.00	0.00	78.00	1583.00	0.98	5.12	0.10	133.00	1583.00	20.29	15.00	30.00	3.56	12.68	4.08	0.00	20.29	0.00	0.00	0.00	0.63	78.00	0.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
5.00	1169.00	375.00	0.00	6988.00	427864.00	1.00	61.99	-1.23	11520.00	427864.00	61.23	10.00	221.00	36.34	1320.69	5.24	0.00	61.23	0.00	0.00	0.00	1.52	6988.00	61.79	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
6.00	1011.00	511.00	0.00	6008.00	387478.00	1.00	55.16	-1.03	9879.00	387478.00	64.49	10.00	205.00	34.06	1160.19	6.09	0.00	64.49	0.00	0.00	0.00	1.53	6008.00	53.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
7.00	498.00	336.00	0.00	5990.00	401766.00	1.00	70.08	0.15	7872.00	401766.00	67.07	10.00	205.00	30.28	916.63	5.11	0.00	67.07	0.00	0.00	0.00	1.33	5990.00	52.96	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
8.00	1132.00	76.00	0.00	5448.00	230807.00	1.00	52.29	-1.42	9864.00	230807.00	42.37	7.00	225.00	28.84	831.59	5.00	0.00	42.37	0.00	0.00	0.00	1.60	5448.00	48.17	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
202.00	784.00	445.00	0.00	74.00	1391.00	0.99	8.44	0.06	81.00	1391.00	18.80	11.00	34.00	4.99	24.93	3.90	0.00	18.80	0.00	0.00	0.00	0.45	74.00	0.65	0.07	0.00	0.00	0.00	0.00	0.00	0.00	
9.00	614.00	102.00	0.00	5438.00	268101.00	1.00	41.71	-0.61	12838.00	268101.00	49.30	12.00	255.00	18.38	337.96	3.48	0.00	49.30	0.00	0.00	0.00	1.93	5438.00	48.08	0.03	0.00	0.00	0.00	0.00	0.00	0.00	
203.00	805.00	621.00	0.00	72.00	1753.00	0.99	5.90	-2.15	140.00	1753.00	24.35	16.00	35.00	5.47	29.95	6.26	0.00	24.35	0.00	0.00	0.00	0.61	72.00	0.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
10.00	773.00	76.00	0.00	5184.00	325152.00	1.00	61.66	-1.66	6643.00	325152.00	62.72	13.00	204.00	28.24	797.40	4.68	0.00	62.72	0.00	0.00	0.00	1.30	5184.00	45.84	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
11.00	738.00	369.00	0.00	5072.00	320761.00	1.00	55.90	-0.45	7840.00	320761.00	63.24	3.00	255.00	41.37	1711.85	5.98	0.00	63.24	0.00	0.00	0.00	1.41	5072.00	44.85	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
12.00	826.00	330.00	0.00	5063.00	129184.00	1.00	62.75	-0.57	8184.00	129184.00	25.52	4.00	98.00	8.35	69.65	3.37	0.00	25.52	0.00	0.00	0.00	1.34	5063.00	44.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
13.00	1175.00	471.00	0.00	5003.00	168684.00	1.00	60.99	0.34	8888.00	168684.00	33.72	2.00	99.00	10.56	111.51	4.44	0.00	33.72	0.00	0.00	0.00	1.48	5003.00	44.24	0.02	0.00	0.00	0.00	0.00	0.00	0.00	
14.00	1279.00	81.00	0.00	4940.00	243971.00	1.00	70.29	-1.85	9240.00	243971.00	49.39	8.00	227.00	33.72	1137.09	4.64	0.00	49.39	0.00	0.00	0.00	1.36	4940.00	43.68	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
15.00	581.00	362.00	0.00	4923.00	162846.00	1.00	49.59	-1.97	8816.00	162846.00	33.08	8.00	125.00	8.22	67.61	3.43	0.00	33.08	0.00	0.00	0.00	1.55	4923.00	43.53	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
16.00	683.00	169.00	0.00	4910.00	147208.00	1.00	57.52	0.38	7623.00	147208.00	29.98	7.00	107.00	10.64	113.11	3.45	0.00	29.98	0.00	0.00	0.00	1.37	4910.00	43.42	0.02	0.00	0.00	0.00	0.00	0.00	0.00	
17.00	1116.00	448.00	0.00	4711.00	285859.00	1.00	57.52	-0.18	6790.00	285859.00	60.68	11.00	244.00	28.02	785.34	5.77	0.00	60.68	0.00	0.00	0.00	1.22	4711.00	41.66	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
18.00	687.00	44.00	0.00	4672.00	205853.00	1.00	54.37	-0.99	8134.00	205853.00	44.06	5.00	148.00	17.69	313.03	4.44	0.00	44.06	0.00	0.00	0.00	1.31	4672.00	41.31	0.02	0.00	0.00	0.00	0.00	0.00	0.00	
19.00	1053.00	263.00	0.00	4384.00	99807.00	1.00	58.99	-0.64	9312.00	99807.00	22.77	8.00	111.00	8.09	65.44	3.12	0.00	22.77	0.00	0.00	0.00	1.32	4384.00	38.76	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
20.00	1189.00	141.00	0.00	4155.00	138203.00	1.00	49.43	0.52	7722.00	138203.00	33.26	4.00	120.00	12.76	162.91	4.52	0.00	33.26	0.00	0.00	0.00	1.44	4155.00	36.74	0.02	0.00	0.00	0.00	0.00	0.00	0.00	
21.00	1124.00	219.00	0.00	4065.00	96741.00	1.00	54.63	0.06	6693.00	96741.00	23.80	7.00	115.00	8.38	70.19	3.48	0.00	23.80	0.00	0.00	0.00	1.30	4065.00	35.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
22.00	865.00	110.00	0.00	3978.00	133153.00	1.00	48.95	0.21	5544.00	133153.00	33.47	8.00	255.00	18.14	328.89	4.68	0.00	33.47	0.00	0.00	0.00	1.36	3978.00	35.17	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
23.00	1300.00	540.00	0.00	3921.00	90469.00	1.00	46.01	-0.38	6831.00	90469.00	23.07	4.00	123.00	10.24	104.80	4.27	0.00	23.07	0.00	0.00	0.00	1.44	3921.00	34.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
24.00	575.00	124.00	0.00	3758.00	230846.00	1.00	51.45	-0.30	6003.00	230846.00	61.43	10.00	255.00	31.51	992.99	6.47	0.00	61.43	0.00	0.00	0.00	1.28	3758.00	33.23	0.02	0.00	0.00	0.00	0.00	0.00	0.00	
25.00	566.00	291.00	0.00	3696.00	234762.00	1.00	51.17	-1.62	5481.00	234762.00	63.52	11.00	232.00	32.56	1059.98	5.25	0.00	63.52	0.00	0.00	0.00	1.28	3696.00	32.68	0.02	0.00	0.00	0.00	0.00	0.00	0.00	
26.00	1213.00	206.00	0.00	3633.00	135564.00	1.00	49.30	-0.90	6612.00	135564.00	37.31	8.00	118.00	16.01	256.21	4.24	0.00	37.31	0.00	0.00	0.00	1.30	3633.00	32.12	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
27.00	1293.00	216.00	0.00	3594.00	95925.00	1.00	45.26	-0.91	9720.00	95925.00	26.69	1.00	103.00	10.02	100.36	4.56	0.00	26.69	0.00	0.00	0.00	1.59	3594.00	31.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
28.00	628.00	213.00	0.00	3572.00	86543.00	1.00	40.60	0.06	5390.00	86543.00	24.23	9.00	102.00	7.72	59.56	3.34	0.00	24.23	0.00	0.00	0.00	1.45	3572.00	31.58	0.02	0.00	0.00	0.00	0.00	0.00	0.00	
29.00	1139.00	312.00	0.00	3540.00	90036.00	1.00	58.19	-1.52	5032.00	90036.00	25.43	6.00	106.00	8.39	70.40	3.32	0.00	25.43	0.00	0.00	0.00	1.23	3540.00	31.30	0.02	0.00	0.00	0.00	0.00	0.00	0.00	
30.00	931.00	589.00	0.00	3458.00	238615.00	1.00	54.34	0.19	4672.00	238615.00	69.00	9.00	202.00	31.12	968.67	6.57	0.00	69.00	0.00	0.00	0.00	1.13	3458.00	30.58	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
31.00	961.00	421.00	0.00	3371.00	99567.00	1.00	50.29	-0.55	5472.00	99567.00	29.54	6.00	134.00	10.70	114.57	4.78	0.00	29.54	0.00	0.00	0.00	1.17	3371.00	29.81	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
32.00	799.00	128.00	0.00	3319.00	222153.00	1.00	48.20	-1.57	4290.00	222153.00	66.93	8.00	198.00	33.37	1113.39	6.35	0.00	66.93	0.00	0.00	0.00	1.15	3319.00	29.35	0.02	0.00	0.00	0.00	0.00	0.00	0.00	
33.00	900.00	355.00	0.00	3309.00	82099.00	1.00	49.63	-1.92	5022.00	82099.00	24.81	5.00	122.00	8.98	80.70	4.39	0.00	24.81	0.00	0.00	0.00	1.12	3309.00	29.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
34.00	999.00	212.00	0.00	3010.00	71424.00	1.00	57.75	-1.03	5846.00	71424.00	23.73	8.00	117.00	8.53	72.69	3.61	0.00	23.73	0.00	0.00	0.00	1.21	3010.00	26.62	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
35.00	822.00	451.00	0.00	2902.00	88529.00	1.00	53.48	0.28	4440.00	88529.00	30.51	7.00	154.00	11.46	131.28	5.65	0.00	30.51	0.00	0.00	0.00	1.12	2902.00	25.66	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
36.00	718.00	248.00	0.00	2864.00	83793.00	1.00	48.16	-0.06	4047.00	83793.00	29.26	7.00	92.00	8.78	77.07	4.28	0.00	29.26	0.00	0.00	0.00	1.13	2864.00	25.32	0.02	0.00	0.00	0.00	0.00	0.00	0.00	
37.00	1159.00	539.00	0.00	2845.00	83856.00	1.00	48.17	-1.40	4002.00	83856.00	29.47	8.00	104.00	9.14	83.59	4.29	0.00	29.47	0.00	0.00	0.00	1.09	2845.00	25.16	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
38.00	998.00	69.00	0.00	2816.00	65184.00	1.00	42.71	0.59	7008.00	65184.00	23.15	9.00	101.00	8.51	72.45	3.95	0.00	23.15	0.00	0.00	0.00	1.50	2816.00	24.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
39.00	1071.00	387.00	0.00	2812.00	81505.00	1.00	46.55	-1.54	3850.00	81505.00	28.98	8.00	134.00	9.99	99.77	4.35	0.00	28.98	0.00	0.00	0.00	1.09	2812.00	24.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
40.00	841.00	550.00	0.00	2764.00	65326.00	1.00	52.01	-1.22	4026.00	65326.00	23.63	8.00	120.00	8.58	73.69	4.15	0.00	23.63	0.00	0.00	0.00	1.02	2764.00	24.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
41.00	1362.00	165.00	0.00	2717.00	62954.00	1.00	34.77	-0.62	7178.00	62954.00	23.17	11.00	255.00	20.61	424.94	4.39	0.00	23.17	0.00	0.00	0.00	1.68	2717.00	24.02	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
42.00	931.00	530.00	0.00	2698.00	94836.00	1.00	46.09	-1.64	3213.00	94836.00	35.15	3.00	129.00	12.41	154.11	5.31	0.00	35.15	0.00	0.00	0.00	1.08	2698.00	23.86	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
43.00	1227.00	484.00	0.00	2664.00	68474.00	1.00	49.33	-0.71	3599.00	68474.00	25.70	7.00	102.00	9.28	86.17	4.14	0.00	25.70	0.00	0.00	0.00	1.04	2664.00	23.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
