ID	centroid_x	centroid_y	centroid_z	volume	integrated_intensity	eccentricity	elongation	orientation	bounding_box_volume	sum	mean	minimum	maximum	sigma	variance	surface_gradient	interior_gradient	surface_intensity	interior_intensity	intensity_ratio	convexity	radius_variation	surface_area	shape	shared_boundary	t_energy	t_entropy	inverse_diff_moment	inertia	cluster_shade	cluster_prominence	
1.00	784.00	629.00	0.00	20268.00	540681.00	1.00	139.01	0.70	40194.00	540681.00	26.68	9.00	41.00	4.58	21.01	1.45	0.00	26.68	0.00	0.00	0.00	2.04	20268.00	179.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2.00	898.00	697.00	0.00	15327.00	408773.00	1.00	102.86	-1.95	24564.00	408773.00	26.67	7.00	41.00	4.85	23.48	1.29	0.00	26.67	0.00	0.00	0.00	1.77	15327.00	135.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
3.00	941.00	228.00	0.00	11528.00	301917.00	1.00	81.07	-1.91	27348.00	301917.00	26.19	11.00	38.00	4.06	16.51	1.64	0.00	26.19	0.00	0.00	0.00	2.20	11528.00	101.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
4.00	1013.00	997.00	0.00	9294.00	265442.00	1.00	67.14	0.50	17550.00	265442.00	28.56	10.00	41.00	5.16	26.61	1.56	0.00	28.56	0.00	0.00	0.00	1.76	9294.00	82.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
5.00	1216.00	567.00	0.00	9141.00	258219.00	1.00	61.03	-1.44	16926.00	258219.00	28.25	5.00	44.00	5.20	27.01	1.65	0.00	28.25	0.00	0.00	0.00	1.91	9141.00	80.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
6.00	151.00	1012.00	0.00	8673.00	569841.00	1.00	58.76	-2.23	18018.00	569841.00	65.70	10.00	255.00	39.90	1591.81	4.99	0.00	65.70	0.00	0.00	0.00	1.96	8673.00	76.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
7.00	534.00	442.00	0.00	8212.00	216966.00	1.00	73.18	0.68	19608.00	216966.00	26.42	7.00	35.00	3.23	10.41	1.56	0.00	26.42	0.00	0.00	0.00	1.80	8212.00	72.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
8.00	1023.00	795.00	0.00	7858.00	220972.00	1.00	60.91	0.12	11280.00	220972.00	28.12	7.00	42.00	4.97	24.70	1.49	0.00	28.12	0.00	0.00	0.00	1.59	7858.00	69.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
9.00	552.00	227.00	0.00	7088.00	175598.00	1.00	37.23	-1.84	18275.00	175598.00	24.77	10.00	36.00	3.54	12.56	1.62	0.00	24.77	0.00	0.00	0.00	2.37	7088.00	62.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
10.00	920.00	844.00	0.00	7043.00	190352.00	1.00	65.17	0.54	13462.00	190352.00	27.03	15.00	39.00	4.30	18.50	1.46	0.00	27.03	0.00	0.00	0.00	1.56	7043.00	62.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
11.00	676.00	727.00	0.00	6952.00	192982.00	1.00	59.96	-2.16	12036.00	192982.00	27.76	10.00	41.00	4.00	16.03	1.45	0.00	27.76	0.00	0.00	0.00	1.59	6952.00	61.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
12.00	263.00	719.00	0.00	6783.00	179933.00	1.00	50.54	0.65	16368.00	179933.00	26.53	9.00	34.00	3.20	10.24	1.55	0.00	26.53	0.00	0.00	0.00	1.93	6783.00	59.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
13.00	987.00	300.00	0.00	6732.00	194087.00	1.00	70.67	-1.74	10530.00	194087.00	28.83	10.00	41.00	4.43	19.63	1.57	0.00	28.83	0.00	0.00	0.00	1.39	6732.00	59.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
14.00	381.00	1026.00	0.00	6673.00	169844.00	1.00	66.47	-0.38	9844.00	169844.00	25.45	13.00	37.00	3.28	10.74	1.22	0.00	25.45	0.00	0.00	0.00	1.49	6673.00	59.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
15.00	588.00	707.00	0.00	6242.00	166295.00	1.00	48.95	-2.25	12826.00	166295.00	26.64	13.00	36.00	3.32	11.04	1.48	0.00	26.64	0.00	0.00	0.00	1.83	6242.00	55.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
16.00	667.00	379.00	0.00	6238.00	174162.00	1.00	47.17	-1.68	9024.00	174162.00	27.92	10.00	36.00	3.58	12.81	1.57	0.00	27.92	0.00	0.00	0.00	1.71	6238.00	55.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
17.00	751.00	463.00	0.00	6180.00	174953.00	1.00	44.50	-1.66	11088.00	174953.00	28.31	6.00	40.00	3.62	13.09	1.65	0.00	28.31	0.00	0.00	0.00	1.75	6180.00	54.64	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
18.00	46.00	558.00	0.00	6004.00	144455.00	1.00	58.58	-0.70	10791.00	144455.00	24.06	8.00	34.00	2.63	6.92	1.34	0.00	24.06	0.00	0.00	0.00	1.50	6004.00	53.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
19.00	822.00	317.00	0.00	5240.00	131551.00	1.00	62.16	-1.32	10922.00	131551.00	25.11	10.00	38.00	3.34	11.13	1.57	0.00	25.11	0.00	0.00	0.00	1.41	5240.00	46.33	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
20.00	1467.00	860.00	0.00	4497.00	138115.00	1.00	60.44	-0.74	5925.00	138115.00	30.71	15.00	46.00	6.43	41.36	1.72	0.00	30.71	0.00	0.00	0.00	1.19	4497.00	39.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
21.00	490.00	1004.00	0.00	4472.00	117278.00	1.00	61.59	0.32	6545.00	117278.00	26.22	10.00	37.00	3.62	13.11	1.37	0.00	26.22	0.00	0.00	0.00	1.17	4472.00	39.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
22.00	1577.00	836.00	0.00	4273.00	127539.00	1.00	57.93	-0.69	5852.00	127539.00	29.85	13.00	45.00	6.11	37.30	1.72	0.00	29.85	0.00	0.00	0.00	1.18	4273.00	37.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
23.00	1696.00	918.00	0.00	4070.00	130746.00	1.00	53.33	-0.50	5460.00	130746.00	32.12	12.00	48.00	6.48	42.03	1.73	0.00	32.12	0.00	0.00	0.00	1.20	4070.00	35.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
24.00	1477.00	770.00	0.00	4010.00	119699.00	1.00	57.18	-0.72	5925.00	119699.00	29.85	12.00	45.00	6.00	35.97	1.75	0.00	29.85	0.00	0.00	0.00	1.15	4010.00	35.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
25.00	1739.00	702.00	0.00	3944.00	117590.00	1.00	54.72	-0.78	5328.00	117590.00	29.81	16.00	45.00	6.63	43.91	1.87	0.00	29.81	0.00	0.00	0.00	1.17	3944.00	34.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
26.00	1702.00	830.00	0.00	3792.00	122123.00	1.00	55.09	-0.33	5092.00	122123.00	32.21	12.00	48.00	6.49	42.08	1.92	0.00	32.21	0.00	0.00	0.00	1.14	3792.00	33.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
27.00	1598.00	743.00	0.00	3761.00	112076.00	1.00	52.62	-0.77	5254.00	112076.00	29.80	16.00	47.00	6.35	40.38	1.82	0.00	29.80	0.00	0.00	0.00	1.17	3761.00	33.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
28.00	319.00	854.00	0.00	3715.00	100739.00	1.00	51.69	0.62	5016.00	100739.00	27.12	13.00	36.00	3.30	10.90	1.44	0.00	27.12	0.00	0.00	0.00	1.17	3715.00	32.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
29.00	859.00	175.00	0.00	3635.00	94214.00	1.00	38.77	-2.04	6534.00	94214.00	25.92	12.00	34.00	3.28	10.77	1.66	0.00	25.92	0.00	0.00	0.00	1.51	3635.00	32.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
30.00	1136.00	140.00	0.00	3616.00	94678.00	1.00	42.80	-0.61	6237.00	94678.00	26.18	12.00	38.00	3.75	14.06	1.69	0.00	26.18	0.00	0.00	0.00	1.40	3616.00	31.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
31.00	726.00	220.00	0.00	3589.00	89127.00	1.00	47.92	-0.26	5166.00	89127.00	24.83	10.00	33.00	3.82	14.59	1.60	0.00	24.83	0.00	0.00	0.00	1.23	3589.00	31.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
32.00	1620.00	620.00	0.00	3456.00	102306.00	1.00	52.44	-0.76	4761.00	102306.00	29.60	16.00	44.00	5.59	31.20	1.82	0.00	29.60	0.00	0.00	0.00	1.12	3456.00	30.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
33.00	959.00	149.00	0.00	3415.00	88041.00	1.00	37.13	-2.11	6693.00	88041.00	25.78	7.00	38.00	3.92	15.38	1.65	0.00	25.78	0.00	0.00	0.00	1.52	3415.00	30.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
34.00	312.00	976.00	0.00	3405.00	120032.00	1.00	45.35	0.11	4611.00	120032.00	35.25	13.00	48.00	5.22	27.23	1.70	0.00	35.25	0.00	0.00	0.00	1.22	3405.00	30.11	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
35.00	1367.00	563.00	0.00	3385.00	102235.00	1.00	54.04	-0.71	4420.00	102235.00	30.20	15.00	42.00	4.99	24.88	1.83	0.00	30.20	0.00	0.00	0.00	1.10	3385.00	29.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
36.00	504.00	772.00	0.00	3375.00	84686.00	1.00	52.60	0.64	4284.00	84686.00	25.09	9.00	35.00	2.89	8.36	1.28	0.00	25.09	0.00	0.00	0.00	1.11	3375.00	29.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
37.00	923.00	585.00	0.00	3371.00	98989.00	1.00	56.27	-1.24	4225.00	98989.00	29.36	13.00	42.00	3.99	15.95	1.64	0.00	29.36	0.00	0.00	0.00	1.09	3371.00	29.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
38.00	243.00	633.00	0.00	3335.00	78898.00	1.00	51.14	0.56	4692.00	78898.00	23.66	12.00	35.00	2.96	8.74	1.43	0.00	23.66	0.00	0.00	0.00	1.14	3335.00	29.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
39.00	1639.00	560.00	0.00	3322.00	93780.00	1.00	47.71	-1.12	4526.00	93780.00	28.23	15.00	41.00	5.30	28.10	1.75	0.00	28.23	0.00	0.00	0.00	1.14	3322.00	29.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
40.00	58.00	786.00	0.00	3243.00	79135.00	1.00	47.43	0.60	4554.00	79135.00	24.40	14.00	31.00	2.36	5.59	1.29	0.00	24.40	0.00	0.00	0.00	1.14	3243.00	28.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
41.00	701.00	531.00	0.00	3146.00	84055.00	1.00	52.49	-1.88	3900.00	84055.00	26.72	13.00	35.00	3.75	14.07	1.56	0.00	26.72	0.00	0.00	0.00	1.07	3146.00	27.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
42.00	584.00	604.00	0.00	3104.00	74244.00	1.00	30.77	-2.13	8881.00	74244.00	23.92	12.00	35.00	3.16	9.96	1.50	0.00	23.92	0.00	0.00	0.00	1.90	3104.00	27.45	0.03	0.00	0.00	0.00	0.00	0.00	0.00	
43.00	617.00	614.00	0.00	3011.00	74490.00	1.00	31.13	-2.13	9408.00	74490.00	24.74	10.00	35.00	3.10	9.59	1.38	0.00	24.74	0.00	0.00	0.00	1.92	3011.00	26.62	0.03	0.00	0.00	0.00	0.00	0.00	0.00	
44.00	1134.00	490.00	0.00	2983.00	78225.00	1.00	51.74	-1.23	3840.00	78225.00	26.22	16.00	38.00	4.50	20.28	1.75	0.00	26.22	0.00	0.00	0.00	1.06	2983.00	26.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
45.00	471.00	307.00	0.00	2974.00	73911.00	1.00	40.39	0.47	5015.00	73911.00	24.85	12.00	34.00	3.71	13.79	1.47	0.00	24.85	0.00	0.00	0.00	1.37	2974.00	26.30	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
46.00	849.00	815.00	0.00	2955.00	68310.00	1.00	47.51	-1.95	4686.00	68310.00	23.12	16.00	32.00	2.76	7.63	1.27	0.00	23.12	0.00	0.00	0.00	1.14	2955.00	26.13	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
47.00	1269.00	491.00	0.00	2816.00	71945.00	1.00	47.91	-1.12	3835.00	71945.00	25.55	16.00	38.00	4.55	20.68	1.70	0.00	25.55	0.00	0.00	0.00	1.05	2816.00	24.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
48.00	1251.00	428.00	0.00	2798.00	80082.00	1.00	49.27	-1.03	3840.00	80082.00	28.62	14.00	38.00	4.52	20.40	1.75	0.00	28.62	0.00	0.00	0.00	1.04	2798.00	24.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
49.00	1515.00	650.00	0.00	2788.00	78982.00	1.00	46.13	-0.56	4355.00	78982.00	28.33	13.00	41.00	5.23	27.39	1.47	0.00	28.33	0.00	0.00	0.00	1.16	2788.00	24.65	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
50.00	103.00	645.00	0.00	2727.00	64909.00	1.00	40.97	-2.17	3876.00	64909.00	23.80	15.00	33.00	2.24	5.00	1.29	0.00	23.80	0.00	0.00	0.00	1.15	2727.00	24.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
51.00	993.00	543.00	0.00	2691.00	72493.00	1.00	48.37	-1.93	3843.00	72493.00	26.94	14.00	40.00	4.30	18.47	1.52	0.00	26.94	0.00	0.00	0.00	1.04	2691.00	23.79	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
52.00	197.00	577.00	0.00	2654.00	60195.00	1.00	44.31	0.72	3534.00	60195.00	22.68	16.00	28.00	2.06	4.23	1.28	0.00	22.68	0.00	0.00	0.00	1.07	2654.00	23.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
53.00	1463.00	365.00	0.00	2629.00	74216.00	1.00	44.47	-1.17	3445.00	74216.00	28.23	9.00	41.00	5.25	27.55	1.83	0.00	28.23	0.00	0.00	0.00	1.05	2629.00	23.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
54.00	564.00	1057.00	0.00	2602.00	73826.00	1.00	39.22	-1.58	3476.00	73826.00	28.37	16.00	37.00	3.96	15.68	1.53	0.00	28.37	0.00	0.00	0.00	1.16	2602.00	23.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
55.00	1375.00	764.00	0.00	2493.00	66346.00	1.00	42.55	-2.33	4355.00	66346.00	26.61	16.00	37.00	4.09	16.70	1.56	0.00	26.61	0.00	0.00	0.00	1.11	2493.00	22.04	0.02	0.00	0.00	0.00	0.00	0.00	0.00	
56.00	1639.00	365.00	0.00	2420.00	73215.00	1.00	42.74	-0.80	3192.00	73215.00	30.25	15.00	43.00	5.62	31.60	2.04	0.00	30.25	0.00	0.00	0.00	1.05	2420.00	21.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
57.00	1444.00	422.00	0.00	2361.00	69124.00	1.00	41.57	-0.83	3186.00	69124.00	29.28	15.00	41.00	4.84	23.46	1.89	0.00	29.28	0.00	0.00	0.00	1.04	2361.00	20.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
58.00	1192.00	464.00	0.00	2325.00	62746.00	1.00	41.58	-0.87	3078.00	62746.00	26.99	16.00	36.00	4.17	17.36	1.72	0.00	26.99	0.00	0.00	0.00	1.03	2325.00	20.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
59.00	1158.00	405.00	0.00	2317.00	67373.00	1.00	41.02	-1.00	3172.00	67373.00	29.08	15.00	38.00	4.19	17.59	1.86	0.00	29.08	0.00	0.00	0.00	1.04	2317.00	20.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
60.00	1587.00	324.00	0.00	2306.00	63224.00	1.00	39.56	-1.08	3162.00	63224.00	27.42	11.00	39.00	4.55	20.67	1.83	0.00	27.42	0.00	0.00	0.00	1.05	2306.00	20.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
61.00	782.00	539.00	0.00	2287.00	51559.00	1.00	41.96	-1.89	3038.00	51559.00	22.54	13.00	33.00	2.89	8.36	1.37	0.00	22.54	0.00	0.00	0.00	1.01	2287.00	20.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
62.00	1248.00	254.00	0.00	2236.00	62109.00	1.00	42.91	-0.69	2860.00	62109.00	27.78	15.00	36.00	4.32	18.68	1.84	0.00	27.78	0.00	0.00	0.00	1.00	2236.00	19.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
63.00	94.00	362.00	0.00	2226.00	55261.00	1.00	38.07	-2.09	3009.00	55261.00	24.83	14.00	34.00	2.83	7.98	1.53	0.00	24.83	0.00	0.00	0.00	1.06	2226.00	19.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
64.00	555.00	275.00	0.00	2195.00	59249.00	1.00	40.69	-1.90	2773.00	59249.00	26.99	16.00	34.00	3.19	10.17	1.68	0.00	26.99	0.00	0.00	0.00	1.00	2195.00	19.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
65.00	649.00	448.00	0.00	2170.00	47842.00	1.00	39.33	-2.05	2850.00	47842.00	22.05	11.00	28.00	2.14	4.59	1.25	0.00	22.05	0.00	0.00	0.00	1.02	2170.00	19.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
66.00	214.00	382.00	0.00	2169.00	55552.00	1.00	36.14	-2.04	3120.00	55552.00	25.61	14.00	34.00	2.89	8.33	1.45	0.00	25.61	0.00	0.00	0.00	1.08	2169.00	19.18	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
67.00	1180.00	320.00	0.00	2144.00	54279.00	1.00	40.83	-1.10	2805.00	54279.00	25.32	15.00	34.00	3.55	12.61	1.70	0.00	25.32	0.00	0.00	0.00	0.99	2144.00	18.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
68.00	1111.00	239.00	0.00	2090.00	55817.00	1.00	38.48	-1.75	2867.00	55817.00	26.71	13.00	37.00	4.02	16.14	1.76	0.00	26.71	0.00	0.00	0.00	0.99	2090.00	18.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
69.00	1139.00	16.00	0.00	2087.00	52600.00	1.00	26.55	-1.27	3393.00	52600.00	25.20	13.00	34.00	3.58	12.80	1.63	0.00	25.20	0.00	0.00	0.00	1.36	2087.00	18.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
70.00	1432.00	616.00	0.00	2067.00	54447.00	1.00	44.72	-1.84	3245.00	54447.00	26.34	16.00	35.00	4.06	16.45	1.55	0.00	26.34	0.00	0.00	0.00	0.99	2067.00	18.28	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
71.00	1476.00	135.00	0.00	2044.00	58630.00	1.00	42.60	-0.76	2500.00	58630.00	28.68	15.00	38.00	4.50	20.21	1.95	0.00	28.68	0.00	0.00	0.00	0.97	2044.00	18.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
72.00	580.00	147.00	0.00	2039.00	48373.00	1.00	40.74	-1.72	2744.00	48373.00	23.72	14.00	33.00	2.99	8.96	1.60	0.00	23.72	0.00	0.00	0.00	0.97	2039.00	18.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
73.00	880.00	23.00	0.00	2015.00	50479.00	1.00	40.96	-2.32	2499.00	50479.00	25.05	14.00	34.00	3.03	9.19	1.53	0.00	25.05	0.00	0.00	0.00	0.98	2015.00	17.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
74.00	1362.00	491.00	0.00	2009.00	58897.00	1.00	40.81	-1.99	3286.00	58897.00	29.32	16.00	40.00	4.85	23.50	1.82	0.00	29.32	0.00	0.00	0.00	0.98	2009.00	17.76	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
75.00	1170.00	245.00	0.00	1997.00	46152.00	1.00	39.93	-1.46	2688.00	46152.00	23.11	10.00	32.00	2.80	7.86	1.51	0.00	23.11	0.00	0.00	0.00	0.97	1997.00	17.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
76.00	1644.00	469.00	0.00	1984.00	60568.00	1.00	33.79	-0.86	2907.00	60568.00	30.53	16.00	45.00	5.79	33.50	2.15	0.00	30.53	0.00	0.00	0.00	1.10	1984.00	17.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
77.00	719.00	290.00	0.00	1973.00	52633.00	1.00	36.67	-2.02	2632.00	52633.00	26.68	13.00	34.00	3.47	12.02	1.78	0.00	26.68	0.00	0.00	0.00	1.01	1973.00	17.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
78.00	112.00	307.00	0.00	1964.00	45685.00	1.00	36.62	-2.13	2592.00	45685.00	23.26	14.00	31.00	2.99	8.91	1.55	0.00	23.26	0.00	0.00	0.00	1.02	1964.00	17.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
79.00	314.00	341.00	0.00	1946.00	50577.00	1.00	36.43	0.75	2601.00	50577.00	25.99	15.00	33.00	2.96	8.74	1.62	0.00	25.99	0.00	0.00	0.00	1.02	1946.00	17.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
80.00	1082.00	161.00	0.00	1923.00	45719.00	1.00	39.02	-1.57	2475.00	45719.00	23.77	15.00	33.00	3.01	9.04	1.61	0.00	23.77	0.00	0.00	0.00	0.96	1923.00	17.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
81.00	663.00	274.00	0.00	1917.00	54518.00	1.00	41.88	-1.67	2744.00	54518.00	28.44	16.00	35.00	3.28	10.73	1.66	0.00	28.44	0.00	0.00	0.00	0.98	1917.00	16.95	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
82.00	188.00	316.00	0.00	1917.00	47244.00	1.00	33.63	-2.02	2700.00	47244.00	24.64	14.00	31.00	2.94	8.62	1.36	0.00	24.64	0.00	0.00	0.00	1.06	1917.00	16.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
