ID	centroid_x	centroid_y	centroid_z	volume	integrated_intensity	eccentricity	elongation	orientation	bounding_box_volume	sum	mean	minimum	maximum	sigma	variance	surface_gradient	interior_gradient	surface_intensity	interior_intensity	intensity_ratio	convexity	radius_variation	surface_area	shape	shared_boundary	t_energy	t_entropy	inverse_diff_moment	inertia	cluster_shade	cluster_prominence	
1.00	804.00	621.00	0.00	20620.00	590148.00	1.00	112.35	-1.84	37650.00	590148.00	28.62	5.00	43.00	4.53	20.52	1.57	0.00	28.62	0.00	0.00	0.00	2.31	20620.00	182.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2.00	923.00	223.00	0.00	14474.00	389061.00	1.00	102.43	-1.58	33534.00	389061.00	26.88	6.00	39.00	4.05	16.38	1.62	0.00	26.88	0.00	0.00	0.00	2.00	14474.00	127.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
3.00	812.00	956.00	0.00	8900.00	249327.00	1.00	68.05	-1.56	11808.00	249327.00	28.01	12.00	40.00	3.98	15.87	1.28	0.00	28.01	0.00	0.00	0.00	1.62	8900.00	78.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
4.00	647.00	396.00	0.00	8842.00	242590.00	1.00	57.91	-1.98	24395.00	242590.00	27.44	7.00	41.00	3.52	12.39	1.60	0.00	27.44	0.00	0.00	0.00	2.27	8842.00	78.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
5.00	1216.00	570.00	0.00	8555.00	233112.00	1.00	51.95	-1.48	13875.00	233112.00	27.25	10.00	39.00	4.61	21.26	1.50	0.00	27.25	0.00	0.00	0.00	1.94	8555.00	75.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
6.00	161.00	1008.00	0.00	8392.00	570290.00	1.00	58.18	0.68	15708.00	570290.00	67.96	12.00	255.00	43.52	1894.29	4.99	0.00	67.96	0.00	0.00	0.00	1.90	8392.00	74.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
7.00	907.00	852.00	0.00	7413.00	205975.00	1.00	62.88	0.45	11931.00	205975.00	27.79	14.00	44.00	4.60	21.16	1.36	0.00	27.79	0.00	0.00	0.00	1.55	7413.00	65.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
8.00	523.00	453.00	0.00	7310.00	198095.00	1.00	59.24	-0.17	12684.00	198095.00	27.10	9.00	37.00	3.49	12.17	1.58	0.00	27.10	0.00	0.00	0.00	1.75	7310.00	64.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
9.00	594.00	724.00	0.00	6876.00	184082.00	1.00	54.62	0.74	14278.00	184082.00	26.77	10.00	37.00	3.84	14.76	1.40	0.00	26.77	0.00	0.00	0.00	1.79	6876.00	60.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
10.00	1612.00	603.00	0.00	6499.00	189247.00	1.00	61.75	0.35	10530.00	189247.00	29.12	9.00	43.00	6.00	36.01	1.66	0.00	29.12	0.00	0.00	0.00	1.49	6499.00	57.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
11.00	1214.00	247.00	0.00	6371.00	162911.00	1.00	69.08	-1.34	11592.00	162911.00	25.57	10.00	37.00	4.23	17.92	1.55	0.00	25.57	0.00	0.00	0.00	1.50	6371.00	56.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
12.00	1506.00	506.00	0.00	6357.00	182844.00	1.00	55.24	-1.93	10962.00	182844.00	28.76	9.00	42.00	5.43	29.51	1.62	0.00	28.76	0.00	0.00	0.00	1.57	6357.00	56.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
13.00	939.00	458.00	0.00	6081.00	171505.00	1.00	50.26	-1.90	9875.00	171505.00	28.20	12.00	39.00	4.66	21.70	1.51	0.00	28.20	0.00	0.00	0.00	1.62	6081.00	53.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
14.00	945.00	692.00	0.00	5749.00	168414.00	1.00	55.23	-0.11	8190.00	168414.00	29.29	11.00	44.00	4.09	16.74	1.42	0.00	29.29	0.00	0.00	0.00	1.42	5749.00	50.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
15.00	1313.00	697.00	0.00	5591.00	147230.00	1.00	55.99	-1.87	9477.00	147230.00	26.33	10.00	42.00	5.56	30.94	1.72	0.00	26.33	0.00	0.00	0.00	1.46	5591.00	49.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
16.00	987.00	306.00	0.00	5505.00	154600.00	1.00	61.13	-1.65	9546.00	154600.00	28.08	11.00	38.00	4.10	16.78	1.75	0.00	28.08	0.00	0.00	0.00	1.47	5505.00	48.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
17.00	59.00	565.00	0.00	5380.00	128422.00	1.00	58.76	-0.56	8536.00	128422.00	23.87	10.00	33.00	2.39	5.69	1.16	0.00	23.87	0.00	0.00	0.00	1.35	5380.00	47.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
18.00	964.00	142.00	0.00	5098.00	128999.00	1.00	73.54	0.68	9797.00	128999.00	25.30	9.00	35.00	3.78	14.26	1.61	0.00	25.30	0.00	0.00	0.00	1.46	5098.00	45.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
19.00	677.00	745.00	0.00	5027.00	136867.00	1.00	55.89	-1.69	7844.00	136867.00	27.23	11.00	39.00	4.05	16.40	1.47	0.00	27.23	0.00	0.00	0.00	1.36	5027.00	44.45	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
20.00	742.00	473.00	0.00	4902.00	135742.00	1.00	48.62	-1.58	6496.00	135742.00	27.69	10.00	38.00	3.55	12.59	1.57	0.00	27.69	0.00	0.00	0.00	1.41	4902.00	43.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
21.00	710.00	1027.00	0.00	4826.00	140245.00	1.00	64.49	0.46	6800.00	140245.00	29.06	12.00	40.00	4.89	23.89	1.41	0.00	29.06	0.00	0.00	0.00	1.19	4826.00	42.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
22.00	515.00	345.00	0.00	4732.00	125077.00	1.00	45.94	-1.62	8255.00	125077.00	26.43	10.00	36.00	3.10	9.59	1.60	0.00	26.43	0.00	0.00	0.00	1.31	4732.00	41.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
23.00	465.00	522.00	0.00	4728.00	114616.00	1.00	54.95	-0.56	7885.00	114616.00	24.24	7.00	34.00	2.87	8.21	1.44	0.00	24.24	0.00	0.00	0.00	1.36	4728.00	41.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
24.00	391.00	1027.00	0.00	4722.00	118122.00	1.00	58.80	-0.16	7776.00	118122.00	25.02	12.00	32.00	3.02	9.09	1.27	0.00	25.02	0.00	0.00	0.00	1.34	4722.00	41.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
25.00	1039.00	976.00	0.00	4562.00	128880.00	1.00	63.36	-0.32	6314.00	128880.00	28.25	13.00	42.00	4.81	23.11	1.40	0.00	28.25	0.00	0.00	0.00	1.18	4562.00	40.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
26.00	1677.00	945.00	0.00	4470.00	135636.00	1.00	62.72	-0.94	5700.00	135636.00	30.34	14.00	50.00	7.22	52.12	1.72	0.00	30.34	0.00	0.00	0.00	1.17	4470.00	39.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
